FullName,University,JoinYear,SubField,Bachelors,Doctorate
Sudipto Guha,University of Pennsylvania,2007,Algorithms & Complexity,,Stanford University
Susan B. Davidson,University of Pennsylvania,1982,Databases,Cornell University,Princeton University
Val Breazu-Tannen,University of Pennsylvania,1997,Databases,,Massachusetts Institute of Technology
Vijay Kumar,University of Pennsylvania,1996,Robotics,Indian Institute of Technology Kanpur,Ohio State University
Vincent Liu,University of Pennsylvania,2017,Computer Networks,University of Texas at Dallas,University of Washington
Yoseph Barash,University of Pennsylvania,,Machine Learning & Data Mining,Hebrew University of Jerusalem,Hebrew University of Jerusalem
Zachary G. Ives,University of Pennsylvania,2003,Databases,Sonoma State University,University of Washington
Adam J. Lee,University of Pittsburgh,2008,Computer Security,Cornell University,University of Illinois at Urbana-Champaign
Adriana Kovashka,University of Pittsburgh,2015,Computer Vision,Pomona College,University of Texas at Austin
Alexandros Labrinidis,University of Pittsburgh,2002,Algorithms & Complexity,University of Crete,University of Maryland
Bruce R. Childers,University of Pittsburgh,2000,Computer Architecture,College of William & Mary,University of Virginia
Daniel Mossé,University of Pittsburgh,1996,High-Performance Computing,University of Brasília,University of Maryland
Diane J. Litman,University of Pittsburgh,2001,Artificial Intelligence,College of William & Mary,University of Rochester
Donald M. Chiarulli,University of Pittsburgh,1986,High-Performance Computing,Louisiana State University,Louisiana State University
Erin Walker,University of Pittsburgh,2013,Human-Computer Interaction,University of Manitoba,Carnegie Mellon University
Heng Huang,University of Pittsburgh,,Machine Learning & Data Mining,Shanghai Jiao Tong University,Dartmouth College
Janyce Wiebe,University of Pittsburgh,2002,Artificial Intelligence,,
Jingtao Wang,University of Pittsburgh,2010,Human-Computer Interaction,Xi'an Jiaotong University,"University of California, Berkeley"
John R. Lange,University of Pittsburgh,2010,Operating Systems,Northwestern University,Northwestern University
Kayhan N. Batmanghelich,University of Pittsburgh,2016,Comp. Bio & Bioinformatics,Amirkabir University of Technology,University of Pennsylvania
Kirk Pruhs,University of Pittsburgh,2008,Machine Learning & Data Mining,Iowa State University,University of Wisconsin-Madison
Milos Hauskrecht,University of Pittsburgh,2005,Algorithms & Complexity,Arizona State University,Brown University
Panos K. Chrysanthis,University of Pittsburgh,2004,Databases,National and Kapodistrian University of Athens,University of Massachusetts Amherst
Rami G. Melhem,University of Pittsburgh,1986,High-Performance Computing,Cairo University,University of Pittsburgh
Rebecca Hwa,University of Pittsburgh,2003,Artificial Intelligence,"University of California, Los Angeles",Harvard University
Rob A. Rutenbar,University of Pittsburgh,2017,Artificial Intelligence,Wayne State University,University of Michigan
Seong Jae Hwang,University of Pittsburgh,2019,Machine Learning & Data Mining,University of Illinois at Urbana-Champaign,University of Wisconsin-Madison
Shi-Kuo Chang,University of Pittsburgh,1986,Interdisciplinary Areas,National Taiwan University,"University of California, Berkeley"
Taieb F. Znati,University of Pittsburgh,1988,Computer Networks,,Michigan State University
Youtao Zhang,University of Pittsburgh,2006,Computer Security,Nanjing University,University of Arizona
Krishna K. Venkatasubramanian,University of Rhode Island,2019,Algorithms & Complexity,,Arizona State University
Chen Ding,University of Rochester,2000,High-Performance Computing,Peking University,Rice University
Chenliang Xu,University of Rochester,2016,Computer Vision,Nanjing University,University of Michigan
Christopher M. Brown,University of Rochester,1991,Artificial Intelligence,Oberlin College,University of Chicago
Daniel Gildea,University of Rochester,2003,Machine Learning & Data Mining,"University of California, Berkeley","University of California, Berkeley"
Daniel Stefankovic,University of Rochester,2005,Algorithms & Complexity,Comenius University in Bratislava,University of Chicago
Engin Ipek,University of Rochester,2009,Computer Architecture,Cornell University,Cornell University
Henry A. Kautz,University of Rochester,2007,Artificial Intelligence,Cornell University,University of Rochester
James F. Allen,University of Rochester,1979,Natural Language Processing,University of Toronto,University of Toronto
Ji Liu,University of Rochester,2014,Machine Learning & Data Mining,University of Science and Technology of China,University of Wisconsin-Madison
Jiebo Luo,University of Rochester,2011,Computer Vision,University of Science and Technology of China,University of Rochester
Joel I. Seiferas,University of Rochester,1979,Algorithms & Complexity,,Massachusetts Institute of Technology
John Criswell,University of Rochester,2014,Computer Security,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
Kai Shen,University of Rochester,2008,Computer Architecture,Shanghai Jiao Tong University,"University of California, Santa Barbara"
Lane A. Hemaspaandra,University of Rochester,1988,Algorithms & Complexity,Yale University,Cornell University
Lenhart K. Schubert,University of Rochester,1988,Natural Language Processing,,University of Toronto
Michael C. Huang,University of Rochester,2002,Computer Architecture,Tsinghua University,University of Illinois at Urbana-Champaign
Michael L. Scott,University of Rochester,1985,High-Performance Computing,,University of Wisconsin-Madison
Mohammed (Ehsan) Hoque,University of Rochester,2008,Human-Computer Interaction,Pennsylvania State University,Massachusetts Institute of Technology
Muthuramakrishnan Venkitasubramaniam,University of Rochester,2011,Cryptography,Indian Institute of Technology Madras,Cornell University
Randal C. Nelson,University of Rochester,1994,Computer Vision,University of Wyoming,University of Maryland
Sandhya Dwarkadas,University of Rochester,1996,Computer Architecture,Indian Institute of Technology Madras,Rice University
Sreepathi Pai,University of Rochester,,High-Performance Computing,,Indian Institute of Science
Thomas M. Howard,University of Rochester,2015,Robotics,University of Rochester,Carnegie Mellon University
Wendi B. Heinzelman,University of Rochester,2001,Computer Networks,Cornell University,Massachusetts Institute of Technology
Yuhao Zhu,University of Rochester,2018,Computer Architecture,Beihang University,University of Texas at Austin
Hu Ding,University of Science and Technology of China,2016,Software Engineering,Sun Yat-sen University,State University of New York
Attila A. Yavuz,University of South Florida,2014,Computer Education,Yıldız Technical University,North Carolina State University
Aiichiro Nakano,University of Southern California,1986,Scientific Computing,,University of Tokyo
Aleksandra Korolova,University of Southern California,2015,Algorithms & Complexity,Massachusetts Institute of Technology,Stanford University
Ari Requicha,University of Southern California,1986,Scientific Computing,,University of Rochester
Barry W. Boehm,University of Southern California,1992,Software Engineering,Harvard University,"University of California, Los Angeles"
Ben Reichardt,University of Southern California,2012,Algorithms & Complexity,Stanford University,"University of California, Berkeley"
Bhaskar Krishnamachari,University of Southern California,2002,Interdisciplinary Areas,Cooper Union,Cornell University
C. S. Raghavendra,University of Southern California,1982,Computer Networks,Bangalore University,"University of California, Los Angeles"
C.-C. Jay Kuo,University of Southern California,1989,Machine Learning & Data Mining,National Taiwan University,Massachusetts Institute of Technology
Chao Wang,University of Southern California,2016,Software Engineering,Peking University,University of Colorado Boulder
Cyrus Shahabi,University of Southern California,1998,Machine Learning & Data Mining,,University of Southern California
David Kempe,University of Southern California,2004,Algorithms & Complexity,Cornell University,Cornell University
Dennis McLeod,University of Southern California,2004,Databases,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Ellis Horowitz,University of Southern California,2012,Software Engineering,Brooklyn College,University of Wisconsin-Madison
Fei Sha,University of Southern California,2008,Machine Learning & Data Mining,Southeast University,University of Pennsylvania
Francisco J. Valero Cuevas,University of Southern California,2007,Comp. Bio & Bioinformatics,Swarthmore College,Stanford University
G. Stefano Sukhatme,University of Southern California,1997,Robotics,Indian Institute of Technology Bombay,University of Southern California
Haipeng Luo,University of Southern California,2017,Machine Learning & Data Mining,Peking University,Princeton University
Hao Li,University of Southern California,2013,Computer Graphics,Karlsruhe Institute of Technology,ETH Zurich
Heather Culbertson,University of Southern California,,Artificial Intelligence,"University of Nevada, Reno",University of Pennsylvania
Jeffrey A. Miller,University of Southern California,2002,Programming Languages,University of Southern California,University of Southern California
Jernej Barbic,University of Southern California,2009,Computer Graphics,University of Ljubljana,Carnegie Mellon University
Joseph J. Lim,University of Southern California,2017,Artificial Intelligence,"University of California, Berkeley",Massachusetts Institute of Technology
Jyotirmoy V. Deshmukh,University of Southern California,2017,Software Engineering,University of Mumbai,University of Texas at Austin
Kai Hwang,University of Southern California,1985,Computer Architecture,National Taiwan University,"University of California, Berkeley"
Kevin Knight,University of Southern California,1993,Natural Language Processing,Harvard University,Carnegie Mellon University
Konstantinos Psounis,University of Southern California,2003,Computer Networks,National Technical University of Athens,Stanford University
Laurent Itti,University of Southern California,2000,Visualization,,California Institute of Technology
Leana Golubchik,University of Southern California,1989,Software Engineering,"University of California, Los Angeles","University of California, Los Angeles"
Leonard M. Adleman,University of Southern California,1994,Algorithms & Complexity,"University of California, Berkeley","University of California, Berkeley"
Mahdi Soltanolkotabi,University of Southern California,2015,,Sharif University of Technology,Stanford University
Maja J. Mataric,University of Southern California,2001,Human-Computer Interaction,University of Kansas,Massachusetts Institute of Technology
Melvin A. Breuer,University of Southern California,1986,Scientific Computing,,"University of California, Berkeley"
Michael S. Waterman,University of Southern California,1984,Comp. Bio & Bioinformatics,Oregon State University,Michigan State University
Ming-Deh A. Huang,University of Southern California,2007,Algorithms & Complexity,National Taiwan University,Princeton University
Morteza Dehghani,University of Southern California,2011,Artificial Intelligence,"University of California, Los Angeles",Northwestern University
Muhammad Naveed,University of Southern California,,Computer Security,,University of Illinois at Urbana-Champaign
Murali Annavaram,University of Southern California,2007,Computer Networks,"National Institute of Technology, Warangal",University of Michigan
Nenad Medvidovic,University of Southern California,2011,Software Engineering,Arizona State University,"University of California, Irvine"
Nicolas Schweighofer,University of Southern California,,Comp. Bio & Bioinformatics,,
Nora Ayanian,University of Southern California,2013,Artificial Intelligence,Drexel University,University of Pennsylvania
Paul Debevec,University of Southern California,,Computer Graphics,University of Michigan,"University of California, Berkeley"
Paul S. Rosenbloom,University of Southern California,1987,Artificial Intelligence,Stanford University,Carnegie Mellon University
Rahul Jain,University of Southern California,2013,Computer Networks,"Kendriya Vidyalaya Indian Institute of Science, Bangalore","University of California, Berkeley"
Rajiv K. Kalia,University of Southern California,1968,Scientific Computing,,Northwestern University
Ram Nevatia,University of Southern California,1975,Computer Vision,,Stanford University
Ramesh Govindan,University of Southern California,2003,Computer Networks,Indian Institute of Technology Madras,"University of California, Berkeley"
Remo Rohs,University of Southern California,2010,Comp. Bio & Bioinformatics,Humboldt University of Berlin,Freie Universität Berlin
Salman Avestimehr,University of Southern California,2014,Machine Learning & Data Mining,,"University of California, Berkeley"
Shaddin Dughmi,University of Southern California,2012,Algorithms & Complexity,Cornell University,Stanford University
Shahram Ghandeharizadeh,University of Southern California,1990,Databases,University of Wisconsin-Madison,University of Wisconsin-Madison
Shang-Hua Teng,University of Southern California,2007,Algorithms & Complexity,Shanghai Jiao Tong University,Carnegie Mellon University
Shanghua Teng,University of Southern California,,Computer Graphics,Shanghai Jiao Tong University,Carnegie Mellon University
Shrikanth Narayanan,University of Southern California,2007,Human-Computer Interaction,"College of Engineering, Guindy","University of California, Los Angeles"
Stefan Schaal,University of Southern California,2010,Machine Learning & Data Mining,,Technical University of Munich
Stephen C. Y. Lu,University of Southern California,1995,Machine Learning & Data Mining,National Taiwan University,Carnegie Mellon University
Sven Koenig,University of Southern California,2003,Artificial Intelligence,University of Hamburg,Carnegie Mellon University
Tim Ting Chen,University of Southern California,2000,Comp. Bio & Bioinformatics,Tsinghua University,Stony Brook University
Todd A. Brun,University of Southern California,2003,Theory,Harvard University,California Institute of Technology
Ulrich Neumann,University of Southern California,2003,Computer Graphics,State University of New York,University of North Carolina at Chapel Hill
Viktor K. Prasanna,University of Southern California,2010,Embedded & Real-Time Systems,Bangalore University,Pennsylvania State University
Wensheng Wu,University of Southern California,,Databases,,
William G. J. Halfond,University of Southern California,2010,Logic & Verification,University of Virginia,Georgia Institute of Technology
Xiang Ren,University of Southern California,2017,Machine Learning & Data Mining,Zhejiang University,University of Illinois at Urbana-Champaign
Xianghong Jasmine Zhou,University of Southern California,2010,Comp. Bio & Bioinformatics,,University of Southern California
Xuehai Qian,University of Southern California,2015,Computer Architecture,Beihang University,University of Illinois at Urbana-Champaign
Yan Liu,University of Southern California,2010,Algorithms & Complexity,Peking University,Carnegie Mellon University
veSn Koenig,University of Southern California,,Artificial Intelligence,University of Hamburg,Carnegie Mellon University
Juan Ye,University of St Andrews,2005,Machine Learning & Data Mining,Fudan University,University of Minnesota
Adrian Hilton,University of Surrey,2012,Algorithms & Complexity,Georgia Institute of Technology,University of Pennsylvania
Aly E. Fathy,University of Tennessee,,,Ain Shams University,New York University
Audris Mockus,University of Tennessee,2014,Software Engineering,Moscow Institute of Physics and Technology,Carnegie Mellon University
Austin Z. Henley,University of Tennessee,2018,Human-Computer Interaction,Austin Peay State University,University of Memphis
Benjamin J. Blalock,University of Tennessee,2001,Computer Architecture,University of Tennessee,Georgia Institute of Technology
Brad T. Vander Zanden,University of Tennessee,2004,Programming Languages,Ohio State University,Cornell University
Bruce J. MacLennan,University of Tennessee,1987,Comp. Bio & Bioinformatics,Florida State University,Purdue University
Chao Tian,University of Tennessee,2014,Computer Networks,Tsinghua University,Cornell University
Daniel Costinett,University of Tennessee,2013,Computer Education,University of Colorado Boulder,University of Colorado Boulder
Donatello Materassi,University of Tennessee,2014,Computer Networks,,University of Florence
Fangxing Li,University of Tennessee,,,,
Fei (Fred) Wang,University of Tennessee,,Computer Architecture,Xi'an Jiaotong University,University of Southern California
Garrett S. Rose,University of Tennessee,2014,Computer Security,Virginia Tech,University of Virginia
Gong Gu,University of Tennessee,2011,Scientific Computing,Tsinghua University,Princeton University
Gregory Peterson,University of Tennessee,2000,Computer Education,Washington University in St. Louis,Washington University in St. Louis
Hairong Qi,University of Tennessee,1999,Computer Vision,Beijing Jiaotong University,North Carolina State University
Husheng Li,University of Tennessee,2007,Computer Networks,Tsinghua University,Princeton University
Itamar Arel,University of Tennessee,2003,Artificial Intelligence,Ben-Gurion University of the Negev,Ben-Gurion University of the Negev
Jack Dongarra,University of Tennessee,1989,Scientific Computing,Chicago State University,University of New Mexico
James S. Plank,University of Tennessee,1993,High-Performance Computing,Yale University,Princeton University
Jayne Wu,University of Tennessee,,Comp. Bio & Bioinformatics,Hefei University of Technology,Center for Excellence in Superconducting Electronics
Jens Gregor,University of Tennessee,1991,Machine Learning & Data Mining,Aalborg University,Aalborg University
Jeremy H. Holleman,University of Tennessee,2009,The Web & Information Retrieval,Georgia Institute of Technology,University of Washington
Jian Huang,University of Tennessee,2001,Visualization,Nanjing University of Posts and Telecommunications,Ohio State University
Jim Plank,University of Tennessee,,Operating Systems,Yale University,Princeton University
Jinyuan Stella Sun,University of Tennessee,2010,Computer Security,,University of Florida
Judy Day,University of Tennessee,2010,Comp. Bio & Bioinformatics,University of Mount Union,University of Pittsburgh
Kai Sun,University of Tennessee,,,Tsinghua University,Tsinghua University
Kevin Tomsovic,University of Tennessee,2008,Artificial Intelligence,Michigan Technological University,University of Washington
Leon M. Tolbert,University of Tennessee,1999,,Georgia Institute of Technology,Georgia Institute of Technology
Lynne E. Parker,University of Tennessee,,Human-Computer Interaction,Tennessee Technological University,Tennessee Technological University
Mark E. Dean,University of Tennessee,2013,Computer Architecture,University of Tennessee,Stanford University
Max Schuchard,University of Tennessee,,Computer Security,University of Minnesota,University of Minnesota
Micah Beck,University of Tennessee,1992,High-Performance Computing,University of Wisconsin-Madison,Cornell University
Michael A. Langston,University of Tennessee,,Human-Computer Interaction,,Texas A&M University
Michael D. Vose,University of Tennessee,,Algorithms & Complexity,,
Michael R. Jantz,University of Tennessee,2014,Operating Systems,University of Kansas,University of Kansas
Michael W. Berry,University of Tennessee,2012,Scientific Computing,University of Georgia,University of Illinois at Urbana-Champaign
Mongi A. Abidi,University of Tennessee,1986,Artificial Intelligence,National Engineering School of Tunis,University of Tennessee
Nicole McFarlane,University of Tennessee,2010,Computer Architecture,Howard University,University of Maryland
Qing Cao,University of Tennessee,2008,High-Performance Computing,Fudan University,University of Illinois at Urbana-Champaign
Scott Ruoti,University of Tennessee,2019,Computer Security,Brigham Young University,Brigham Young University
Seddik M. Djouadi,University of Tennessee,2003,Computer Networks,National Polytechnic School,McGill University
Syed Islam,University of Tennessee,1995,,Bangladesh University of Engineering and Technology,University of Connecticut
Wei Gao,University of Tennessee,2012,Computer Networks,Changsha University of Science and Technology,Pennsylvania State University
Yilu Liu,University of Tennessee,2009,Computer Architecture,Xi'an Jiaotong University,Ohio State University
Bill Carroll,University of Texas at Arlington,1981,Computer Architecture,University of Texas at Austin,University of Texas at Austin
Chengkai Li,University of Texas at Arlington,2007,Human-Computer Interaction,Nanjing University,University of Illinois at Urbana-Champaign
Chris Ding,University of Texas at Arlington,2007,Machine Learning & Data Mining,,Columbia University
Christoph Csallner,University of Texas at Arlington,,Software Engineering,University of Stuttgart,Georgia Institute of Technology
César Torres,University of Texas at Arlington,2015,Human-Computer Interaction,Stanford University,"University of California, Berkeley"
Dajiang Zhu,University of Texas at Arlington,2017,Machine Learning & Data Mining,Shanghai Jiao Tong University,University of Georgia
David Kung,University of Texas at Arlington,1990,Interdisciplinary Areas,University of Science and Technology Beijing,Norwegian Institute of Technology
Deokgun Park,University of Texas at Arlington,2020,Machine Learning & Data Mining,Seoul National University,University of Maryland
Gautam Das,University of Texas at Arlington,2004,Databases,Indian Institute of Technology Kanpur,University of Wisconsin-Madison
Hong Jiang,University of Texas at Arlington,1991,Computer Architecture,Huazhong University of Science and Technology,Texas A&M University
Ishfaq Ahmad,University of Texas at Arlington,2001,High-Performance Computing,University of Engineering and Technology,Syracuse University
Jia Rao,University of Texas at Arlington,,,,
Jiang Ming,University of Texas at Arlington,,,,
Junzhou Huang,University of Texas at Arlington,2011,Machine Learning & Data Mining,Huazhong University of Science and Technology,Rutgers University
Manfred Huber,University of Texas at Arlington,2000,Artificial Intelligence,Karlsruhe Institute of Technology,University of Massachusetts Amherst
Mohammad A. Islam,University of Texas at Arlington,2019,Computer Security,Bangladesh University of Engineering and Technology,"University of California, Riverside"
Sharma Chakravarthy,University of Texas at Arlington,2000,Embedded & Real-Time Systems,"Kendriya Vidyalaya Indian Institute of Science, Bangalore",University of Maryland
Shirin Nilizadeh,University of Texas at Arlington,2018,Computer Security,Islamic Azad University,Indiana University Bloomington
Song Jiang,University of Texas at Arlington,2016,High-Performance Computing,University of Science and Technology of China,College of William & Mary
William J. Beksi,University of Texas at Arlington,2020,Robotics,Stevens Institute of Technology,University of Minnesota
Won Hwa Kim,University of Texas at Arlington,2018,Machine Learning & Data Mining,Sungkyunkwan University,University of Wisconsin-Madison
Yu Lei,University of Texas at Arlington,2004,Software Engineering,Wuhan University,North Carolina State University
Adam Klivans,University of Texas at Austin,2005,Artificial Intelligence,Carnegie Mellon University,Massachusetts Institute of Technology
Alan Cline,University of Texas at Austin,1975,Scientific Computing,University of Michigan,University of Michigan
Alex Dimakis,University of Texas at Austin,2013,Machine Learning & Data Mining,National Technical University of Athens,"University of California, Berkeley"
Alex Huth,University of Texas at Austin,2017,Comp. Bio & Bioinformatics,California Institute of Technology,"University of California, Berkeley"
Aloysius K. Mok,University of Texas at Austin,1997,Computer Vision,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Andrea Lockerd Thomaz,University of Texas at Austin,,Artificial Intelligence,University of Texas at Austin,Massachusetts Institute of Technology
Anna Gál,University of Texas at Austin,2012,Algorithms & Complexity,Washington State University,University of Chicago
Bill Press,University of Texas at Austin,,Artificial Intelligence,Carnegie Mellon University,Massachusetts Institute of Technology
Brent R. Waters,University of Texas at Austin,2008,Computer Security,"University of California, Los Angeles",Princeton University
Bruce W. Porter,University of Texas at Austin,1984,Artificial Intelligence,,"University of California, Irvine"
C. Greg Plaxton,University of Texas at Austin,1990,Algorithms & Complexity,University of Toronto,Stanford University
Calvin Lin,University of Texas at Austin,2017,Computer Security,Princeton University,University of Washington
Chandrajit Bajaj,University of Texas at Austin,1997,Visualization,Indian Institute of Technology Delhi,Cornell University
Christopher J. Rossbach,University of Texas at Austin,2015,Operating Systems,Stanford University,University of Texas at Austin
Dan Miranker,University of Texas at Austin,1986,Comp. Bio & Bioinformatics,Massachusetts Institute of Technology,Columbia University
Dana H. Ballard,University of Texas at Austin,2006,Comp. Bio & Bioinformatics,Massachusetts Institute of Technology,"University of California, Irvine"
Dana Moshkovitz,University of Texas at Austin,2008,Theory,The Open University,Weizmann Institute of Science
David Zuckerman,University of Texas at Austin,1994,Algorithms & Complexity,Harvard University,"University of California, Berkeley"
Don Fussell,University of Texas at Austin,,Computer Graphics,Dartmouth College,University of Texas at Dallas
Don S. Batory,University of Texas at Austin,1983,Programming Languages,Case Western Reserve University,University of Toronto
Donald S. Fussell,University of Texas at Austin,1994,Computer Graphics,Dartmouth College,University of Texas at Dallas
E. Allen Emerson,University of Texas at Austin,1975,Algorithms & Complexity,University of Texas at Austin,Harvard University
Emmett Witchel,University of Texas at Austin,2004,Programming Languages,Stanford University,Massachusetts Institute of Technology
Eric C. Price,University of Texas at Austin,2014,Algorithms & Complexity,Massachusetts Institute of Technology,Massachusetts Institute of Technology
Etienne Vouga,University of Texas at Austin,2006,Computer Architecture,Harvard University,Columbia University
Eunsol Choi,University of Texas at Austin,2020,Algorithms & Complexity,Cornell University,University of Washington
Gordon S. Novak,University of Texas at Austin,1976,Artificial Intelligence,University of Texas at Austin,University of Texas at Austin
Greg Durrett,University of Texas at Austin,2016,Artificial Intelligence,Massachusetts Institute of Technology,"University of California, Berkeley"
Hovav Shacham,University of Texas at Austin,2018,Computer Security,Stanford University,Stanford University
Inderjit S. Dhillon,University of Texas at Austin,1999,Machine Learning & Data Mining,Indian Institute of Technology Bombay,"University of California, Berkeley"
Isil Dillig,University of Texas at Austin,2014,Programming Languages,Stanford University,Stanford University
J Strother Moore,University of Texas at Austin,1997,Scientific Computing,Massachusetts Institute of Technology,University of Edinburgh
Jayadev Misra,University of Texas at Austin,,Programming Languages,Indian Institute of Technology Kanpur,Johns Hopkins University
Joydeep Biswas,University of Texas at Austin,2019,Robotics,Indian Institute of Technology Bombay,Carnegie Mellon University
Katrin Erk,University of Texas at Austin,2006,Natural Language Processing,University of Koblenz and Landau,Saarland University
Keshav Pingali,University of Texas at Austin,,Programming Languages,Indian Institute of Technology Kanpur,Massachusetts Institute of Technology
Kristen Grauman,University of Texas at Austin,2007,Computer Vision,Boston College,Massachusetts Institute of Technology
Lili Qiu,University of Texas at Austin,2005,Computer Networks,University of Bridgeport,Cornell University
Michael D. Dahlin,University of Texas at Austin,1996,High-Performance Computing,Rice University,"University of California, Berkeley"
Mohamed G. Gouda,University of Texas at Austin,1980,Computer Networks,Cairo University,University of Waterloo
Peter Stone,University of Texas at Austin,2002,Comp. Bio & Bioinformatics,University of Chicago,Carnegie Mellon University
Philipp Krähenbühl,University of Texas at Austin,2016,Computer Vision,ETH Zurich,Stanford University
Qiang Liu,University of Texas at Austin,2018,Machine Learning & Data Mining,Beihang University,"University of California, Irvine"
Qixing Huang,University of Texas at Austin,2016,Computer Vision,Tsinghua University,Stanford University
Raymond J. Mooney,University of Texas at Austin,1988,Artificial Intelligence,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
Risto Miikkulainen,University of Texas at Austin,1990,Natural Language Processing,Helsinki University of Technology,"University of California, Los Angeles"
Robert A. van de Geijn,University of Texas at Austin,2002,Algorithms & Complexity,University of Wisconsin-Madison,University of Maryland
Scott Aaronson,University of Texas at Austin,2016,Algorithms & Complexity,Cornell University,"University of California, Berkeley"
Scott Niekum,University of Texas at Austin,2015,Robotics,Carnegie Mellon University,University of Massachusetts Amherst
Simon Peter,University of Texas at Austin,2016,Operating Systems,University of Oldenburg,ETH Zurich
Simon S. Lam,University of Texas at Austin,1977,Computer Education,Washington State University,"University of California, Los Angeles"
Swarat Chaudhuri,University of Texas at Austin,2015,Artificial Intelligence,Indian Institute of Technology Kharagpur,University of Pennsylvania
Vijay Chidambaram,University of Texas at Austin,2016,,"College of Engineering, Guindy",University of Wisconsin-Madison
Vijaya Ramachandran,University of Texas at Austin,1989,Theory,"Kendriya Vidyalaya Indian Institute of Science, Bangalore",Princeton University
Vladimir Lifschitz,University of Texas at Austin,1990,Artificial Intelligence,Saint Petersburg State University,Steklov Institute of Mathematics
Warren A. Hunt Jr.,University of Texas at Austin,1985,Computer Architecture,Rice University,University of Texas at Austin
William H. Press,University of Texas at Austin,2007,Comp. Bio & Bioinformatics,Harvard University,Cornell University
William R. Cook,University of Texas at Austin,2003,Programming Languages,Tulane University,Brown University
Yin Zhang,University of Texas at Austin,2005,Computer Networks,Peking University,Cornell University
Alvaro A. Cárdenas,University of Texas at Dallas,2013,Computer Security,University of the Andes,University of Maryland
Andras Farago,University of Texas at Dallas,1998,Computer Networks,Budapest University of Technology and Economics,Budapest University of Technology and Economics
Andrian Marcus,University of Texas at Dallas,2014,Software Engineering,Babeș-Bolyai University,Kent State University
B. Prabhakaran,University of Texas at Dallas,2001,Computer Graphics,Madurai Kamaraj University,Indian Institute of Technology Madras
Balaji Raghavachari,University of Texas at Dallas,1993,Algorithms & Complexity,,Indian Institute of Technology Madras
Benjamin Adam Raichel,University of Texas at Dallas,2015,Algorithms & Complexity,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
Bhavani M. Thuraisingham,University of Texas at Dallas,2004,Computer Security,University of Ceylon,"University of the West of England, Bristol"
Cong Liu,University of Texas at Dallas,2013,Mobile Computing,Wuhan University of Technology,University of North Carolina at Chapel Hill
D. T. Huynh,University of Texas at Dallas,1986,Algorithms & Complexity,Technische Universität Darmstadt,Saarland University
Dan I. Moldovan,University of Texas at Dallas,2001,Natural Language Processing,Politehnica University of Bucharest,Columbia University
Ding-Zhu Du,University of Texas at Dallas,2005,Algorithms & Complexity,,"University of California, Santa Barbara"
Edwin Sha,University of Texas at Dallas,2000,Computer Networks,National Taiwan University,Princeton University
Farokh B. Bastani,University of Texas at Dallas,1997,Artificial Intelligence,Indian Institute of Technology Bombay,"University of California, Berkeley"
Feng Chen,University of Texas at Dallas,2019,Machine Learning & Data Mining,Hunan University,Virginia Tech
Gautam Kunapuli,University of Texas at Dallas,2017,Scientific Computing,University of Madras,Rensselaer Polytechnic Institute
Gopal Gupta,University of Texas at Dallas,2000,Programming Languages,Indian Institute of Technology Kanpur,University of North Carolina at Chapel Hill
Haim Schweitzer,University of Texas at Dallas,,Computer Vision,Tel Aviv University,Hebrew University of Jerusalem
Haim Shvaytser,University of Texas at Dallas,,Computer Vision,Tel Aviv University,Hebrew University of Jerusalem
I-Ling Yen,University of Texas at Dallas,1997,The Web & Information Retrieval,National Tsing Hua University,University of Houston
Ivan Hal Sudborough,University of Texas at Dallas,1985,High-Performance Computing,California Polytechnic State University,Pennsylvania State University
Ivor P. Page,University of Texas at Dallas,1981,Computer Education,Brunel University,Brunel University
Jason Jue,University of Texas at Dallas,2004,Computer Networks,"University of California, Berkeley","University of California, Davis"
Jessica Ouyang,University of Texas at Dallas,2019,Natural Language Processing,University of Pennsylvania,Columbia University
Jorge Arturo Cobb,University of Texas at Dallas,1998,Computer Networks,University of Texas at El Paso,University of Texas at Austin
Kamil Saraç,University of Texas at Dallas,2002,Computer Networks,Middle East Technical University,"University of California, Santa Barbara"
Kang Zhang,University of Texas at Dallas,2000,Visualization,University of Electronic Science and Technology of China,University of Brighton
Kangkook Jee,University of Texas at Dallas,2019,,Korea University,Columbia University
Kendra Cooper,University of Texas at Dallas,2013,Software Engineering,University of British Columbia,University of British Columbia
Kevin W. Hamlen,University of Texas at Dallas,2006,Programming Languages,Carnegie Mellon University,Cornell University
Kyle Fox,University of Texas at Dallas,2017,Algorithms & Complexity,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign
Latifur Khan,University of Texas at Dallas,2000,Machine Learning & Data Mining,Bangladesh University of Engineering and Technology,University of Southern California
Lawrence Chung,University of Texas at Dallas,1994,Computer Security,University of Toronto,University of Toronto
Lingming Zhang,University of Texas at Dallas,2014,Software Engineering,Nanjing University,University of Texas at Austin
Milind Dawande,University of Texas at Dallas,2000,Algorithms & Complexity,Birla Institute of Technology and Science,Carnegie Mellon University
Murat Kantarcioglu,University of Texas at Dallas,2015,Machine Learning & Data Mining,Middle East Technical University,Purdue University
